Rule Name	Rule URI	Subject	Property	Value	Severity	Result
duplicate_exact_synonym	http://robot.obolibrary.org/report#duplicate_exact_synonym	-	-	-	ERROR	PASS (0 violations)
missing_definition	http://robot.obolibrary.org/report#missing_definition	-	-	-	WARN	PASS (0 violations in batch scope)
multiple_labels	http://robot.obolibrary.org/report#multiple_labels	-	-	-	ERROR	PASS (0 violations)
missing_label	http://robot.obolibrary.org/report#missing_label	-	-	-	ERROR	PASS (0 violations)
deprecated_class_reference	http://robot.obolibrary.org/report#deprecated_class_reference	-	-	-	ERROR	PASS (0 violations)
missing_ontology_license	http://robot.obolibrary.org/report#missing_ontology_license	-	-	-	ERROR	PASS (license present in batch ontology header)
missing_ontology_title	http://robot.obolibrary.org/report#missing_ontology_title	-	-	-	WARN	PASS (title present)
missing_superclass	http://robot.obolibrary.org/report#missing_superclass	-	-	-	WARN	N/A (property axioms only, no class assertions)
invalid_xref	http://robot.obolibrary.org/report#invalid_xref	-	-	-	WARN	PASS (0 violations)
undeclared_property	http://robot.obolibrary.org/report#undeclared_property	-	-	-	ERROR	PASS (all 12 ICD and RO properties declared)
misused_object_property	http://robot.obolibrary.org/report#misused_object_property	-	-	-	ERROR	PASS (0 violations)
self_referencing_property	http://robot.obolibrary.org/report#self_referencing_property	-	-	-	ERROR	PASS (no self-references)
property_cycle	http://robot.obolibrary.org/report#property_cycle	-	-	-	ERROR	PASS (no cycles in property hierarchy)
annotation_whitespace	http://robot.obolibrary.org/report#annotation_whitespace	-	-	-	INFO	PASS (0 violations)
