proposed_code	proposed_label	external_source	external_id	external_iri	external_label	icd11_parent_code	icd11_parent_label	match_type	logdef_batch_usage
XN_NEW_01	Ehrlichia	NCBITaxon	943	http://purl.obolibrary.org/obo/NCBITaxon_943	Ehrlichia	XN0R7	Rickettsiaceae	skos:exactMatch	LDEF-DEF-006, LDEF-DEF-007
XN_NEW_02	Bartonella	NCBITaxon	773	http://purl.obolibrary.org/obo/NCBITaxon_773	Bartonella	XN0R7	Rickettsiaceae	skos:exactMatch	LDEF-DEF-008
XN_NEW_03	Corynebacterium	NCBITaxon	1718	http://purl.obolibrary.org/obo/NCBITaxon_1718	Corynebacterium	XN7T0	Corynebacterium diphtheriae	skos:exactMatch	LDEF-DEF-009
XN_NEW_04	Leishmania donovani	NCBITaxon	5661	http://purl.obolibrary.org/obo/NCBITaxon_5661	Leishmania donovani	XN5G8	Leishmania	skos:exactMatch	LDEF-DEF-001
XN_NEW_05	Leishmania tropica	NCBITaxon	5671	http://purl.obolibrary.org/obo/NCBITaxon_5671	Leishmania tropica	XN5G8	Leishmania	skos:exactMatch	LDEF-DEF-002
XN_NEW_06	Leishmania braziliensis	NCBITaxon	5660	http://purl.obolibrary.org/obo/NCBITaxon_5660	Leishmania braziliensis	XN5G8	Leishmania	skos:exactMatch	LDEF-DEF-010
XN_NEW_07	Naegleria fowleri	NCBITaxon	5763	http://purl.obolibrary.org/obo/NCBITaxon_5763	Naegleria fowleri	XN5UG	Free-living amoebae	skos:exactMatch	LDEF-DEF-003
XN_NEW_08	Balamuthia mandrillaris	NCBITaxon	66527	http://purl.obolibrary.org/obo/NCBITaxon_66527	Balamuthia mandrillaris	XN5UG	Free-living amoebae	skos:exactMatch	LDEF-DEF-011
XN_NEW_09	Acanthamoeba	NCBITaxon	5755	http://purl.obolibrary.org/obo/NCBITaxon_5755	Acanthamoeba	XN5UG	Free-living amoebae	skos:exactMatch	LDEF-DEF-012
XN_NEW_10	Human enterovirus 71	NCBITaxon	12059	http://purl.obolibrary.org/obo/NCBITaxon_12059	Enterovirus A71	XN2V5	Enterovirus	skos:exactMatch	LDEF-DEF-013
XN_NEW_11	Coxsackievirus	NCBITaxon	12131	http://purl.obolibrary.org/obo/NCBITaxon_12131	Coxsackievirus	XN2V5	Enterovirus	skos:exactMatch	LDEF-DEF-014, LDEF-DEF-015
XN_NEW_12	Sin Nombre orthohantavirus	NCBITaxon	37133	http://purl.obolibrary.org/obo/NCBITaxon_37133	Sin Nombre orthohantavirus	XN4K6	Hantavirus	skos:exactMatch	LDEF-DEF-016
XN_NEW_13	Sapovirus	NCBITaxon	162145	http://purl.obolibrary.org/obo/NCBITaxon_162145	Sapovirus	XN8J2	Caliciviridae	skos:exactMatch	LDEF-DEF-017
XN_NEW_14	Astrovirus	NCBITaxon	12475	http://purl.obolibrary.org/obo/NCBITaxon_12475	Astrovirus	XN9D0	Rotavirus	skos:exactMatch	LDEF-DEF-018
XN_NEW_15	Nipah virus	NCBITaxon	121791	http://purl.obolibrary.org/obo/NCBITaxon_121791	Nipah henipavirus	XN0Y2	Paramyxoviridae	skos:exactMatch	LDEF-DEF-019
XN_NEW_16	Hendra virus	NCBITaxon	63330	http://purl.obolibrary.org/obo/NCBITaxon_63330	Hendra henipavirus	XN0Y2	Paramyxoviridae	skos:exactMatch	LDEF-DEF-020
XN_NEW_17	Talaromyces marneffei	NCBITaxon	37727	http://purl.obolibrary.org/obo/NCBITaxon_37727	Talaromyces marneffei	XN47W	Histoplasma	skos:exactMatch	LDEF-DEF-005
XA_NEW_01	Meninges	UBERON	2360	http://purl.obolibrary.org/obo/UBERON_0002360	meninges	XA98G2	Central nervous system	skos:exactMatch	LDEF-DEF-003, LDEF-DEF-021, LDEF-DEF-022
XA_NEW_02	Intestinal mucosa	UBERON	1242	http://purl.obolibrary.org/obo/UBERON_0001242	intestinal mucosa	XA35A4	Intestinal structure	skos:exactMatch	LDEF-DEF-023, LDEF-DEF-024
XA_NEW_03	Reticuloendothelial system	UBERON	758	http://purl.obolibrary.org/obo/UBERON_0000758	reticuloendothelial system	XA0D16	Spleen	skos:exactMatch	LDEF-DEF-001, LDEF-DEF-025
XA_NEW_04	Dermis	UBERON	2067	http://purl.obolibrary.org/obo/UBERON_0002067	dermis	XA7PL7	Skin	skos:exactMatch	LDEF-DEF-002, LDEF-DEF-026
XA_NEW_05	Subcutaneous tissue	UBERON	2072	http://purl.obolibrary.org/obo/UBERON_0002072	subcutaneous adipose tissue	XA7PL7	Skin	skos:exactMatch	LDEF-DEF-027, LDEF-DEF-028
