proposed_code	proposed_label	collision_found	nearest_existing_code	nearest_existing_label	similarity	status
XN_NEW_01	Ehrlichia	no	XN2X4	Ehrlichia chaffeensis	0.45	PASS (genus vs. species — distinct)
XN_NEW_02	Bartonella	no	XN0K5	Bartonella henselae	0.42	PASS (genus vs. species — distinct)
XN_NEW_03	Corynebacterium	no	XN7T0	Corynebacterium diphtheriae	0.48	PASS (genus vs. species — distinct)
XN_NEW_04	Leishmania donovani	no	XN5G8	Leishmania	0.52	PASS (species vs. genus — distinct)
XN_NEW_05	Leishmania tropica	no	XN5G8	Leishmania	0.50	PASS (species vs. genus — distinct)
XN_NEW_06	Leishmania braziliensis	no	XN5G8	Leishmania	0.48	PASS (species vs. genus — distinct)
XN_NEW_07	Naegleria fowleri	no	-	-	0.00	PASS (no similar label)
XN_NEW_08	Balamuthia mandrillaris	no	-	-	0.00	PASS (no similar label)
XN_NEW_09	Acanthamoeba	no	-	-	0.00	PASS (no similar label)
XN_NEW_10	Human enterovirus 71	no	XN2V5	Enterovirus	0.40	PASS (species vs. genus — distinct)
XN_NEW_11	Coxsackievirus	no	XN2V5	Enterovirus	0.15	PASS (distinct genus)
XN_NEW_12	Sin Nombre orthohantavirus	no	XN4K6	Hantaan virus	0.35	PASS (different species)
XN_NEW_13	Sapovirus	no	XN8J2	Norovirus	0.20	PASS (distinct genus)
XN_NEW_14	Astrovirus	no	XN9D0	Rotavirus	0.15	PASS (distinct family)
XN_NEW_15	Nipah virus	no	-	-	0.00	PASS (no similar label)
XN_NEW_16	Hendra virus	no	-	-	0.00	PASS (no similar label)
XN_NEW_17	Talaromyces marneffei	no	XN47W	Histoplasma	0.10	PASS (distinct genus)
XA_NEW_01	Meninges	no	XA98G2	Central nervous system	0.20	PASS (part of CNS — distinct structure)
XA_NEW_02	Intestinal mucosa	no	XA35A4	Intestinal structure	0.55	PASS (mucosa layer vs. whole organ — distinct)
XA_NEW_03	Reticuloendothelial system	no	XA0D16	Spleen	0.15	PASS (system vs. single organ — distinct)
XA_NEW_04	Dermis	no	XA7PL7	Skin	0.40	PASS (layer vs. whole organ — distinct)
XA_NEW_05	Subcutaneous tissue	no	XA7PL7	Skin	0.30	PASS (deeper layer — distinct)
XA_NEW_06	Biliary system	no	XA6AN6	Liver	0.20	PASS (biliary vs. hepatic — distinct)
XA_NEW_07	Myocardium	no	XA7RE5	Heart	0.35	PASS (muscle layer vs. whole organ — distinct)
XA_NEW_08	Portal venous system	no	XA6AN6	Liver	0.15	PASS (vascular vs. parenchymal — distinct)
XA_NEW_09	Pylorus	no	XA1K12	Stomach	0.40	PASS (part of stomach — distinct)
XA_NEW_10	Epidermis	no	XA7PL7	Skin	0.40	PASS (outer layer vs. whole organ — distinct)
XA_NEW_11	Lymphoid tissue	no	XA8AE9	Lymph node	0.50	PASS (tissue type vs. organ — distinct)
