proposed_code	external_source	external_id	external_iri	current_label	deprecated	status	verification_date
XN_NEW_01	NCBITaxon	943	http://purl.obolibrary.org/obo/NCBITaxon_943	Ehrlichia	false	PASS	2026-08-02
XN_NEW_02	NCBITaxon	773	http://purl.obolibrary.org/obo/NCBITaxon_773	Bartonella	false	PASS	2026-08-02
XN_NEW_03	NCBITaxon	1718	http://purl.obolibrary.org/obo/NCBITaxon_1718	Corynebacterium	false	PASS	2026-08-02
XN_NEW_04	NCBITaxon	5661	http://purl.obolibrary.org/obo/NCBITaxon_5661	Leishmania donovani	false	PASS	2026-08-02
XN_NEW_05	NCBITaxon	5671	http://purl.obolibrary.org/obo/NCBITaxon_5671	Leishmania tropica	false	PASS	2026-08-02
XN_NEW_06	NCBITaxon	5660	http://purl.obolibrary.org/obo/NCBITaxon_5660	Leishmania braziliensis	false	PASS	2026-08-02
XN_NEW_07	NCBITaxon	5763	http://purl.obolibrary.org/obo/NCBITaxon_5763	Naegleria fowleri	false	PASS	2026-08-02
XN_NEW_08	NCBITaxon	66527	http://purl.obolibrary.org/obo/NCBITaxon_66527	Balamuthia mandrillaris	false	PASS	2026-08-02
XN_NEW_09	NCBITaxon	5755	http://purl.obolibrary.org/obo/NCBITaxon_5755	Acanthamoeba	false	PASS	2026-08-02
XN_NEW_10	NCBITaxon	12059	http://purl.obolibrary.org/obo/NCBITaxon_12059	Enterovirus A71	false	PASS	2026-08-02
XN_NEW_11	NCBITaxon	12131	http://purl.obolibrary.org/obo/NCBITaxon_12131	Coxsackievirus	false	PASS	2026-08-02
XN_NEW_12	NCBITaxon	37133	http://purl.obolibrary.org/obo/NCBITaxon_37133	Sin Nombre orthohantavirus	false	PASS	2026-08-02
XN_NEW_13	NCBITaxon	162145	http://purl.obolibrary.org/obo/NCBITaxon_162145	Sapovirus	false	PASS	2026-08-02
XN_NEW_14	NCBITaxon	12475	http://purl.obolibrary.org/obo/NCBITaxon_12475	Astrovirus	false	PASS	2026-08-02
XN_NEW_15	NCBITaxon	121791	http://purl.obolibrary.org/obo/NCBITaxon_121791	Nipah henipavirus	false	PASS	2026-08-02
XN_NEW_16	NCBITaxon	63330	http://purl.obolibrary.org/obo/NCBITaxon_63330	Hendra henipavirus	false	PASS	2026-08-02
XN_NEW_17	NCBITaxon	37727	http://purl.obolibrary.org/obo/NCBITaxon_37727	Talaromyces marneffei	false	PASS	2026-08-02
XA_NEW_01	UBERON	2360	http://purl.obolibrary.org/obo/UBERON_0002360	meninges	false	PASS	2026-08-02
XA_NEW_02	UBERON	1242	http://purl.obolibrary.org/obo/UBERON_0001242	intestinal mucosa	false	PASS	2026-08-02
XA_NEW_03	UBERON	758	http://purl.obolibrary.org/obo/UBERON_0000758	reticuloendothelial system	false	PASS	2026-08-02
XA_NEW_04	UBERON	2067	http://purl.obolibrary.org/obo/UBERON_0002067	dermis	false	PASS	2026-08-02
XA_NEW_05	UBERON	2072	http://purl.obolibrary.org/obo/UBERON_0002072	subcutaneous adipose tissue	false	PASS	2026-08-02
XA_NEW_06	UBERON	2394	http://purl.obolibrary.org/obo/UBERON_0002394	hepatobiliary system	false	PASS	2026-08-02
XA_NEW_07	UBERON	1133	http://purl.obolibrary.org/obo/UBERON_0001133	cardiac muscle tissue	false	PASS	2026-08-02
XA_NEW_08	UBERON	10195	http://purl.obolibrary.org/obo/UBERON_0010195	hepatic portal system	false	PASS	2026-08-02
XA_NEW_09	UBERON	1158	http://purl.obolibrary.org/obo/UBERON_0001158	pylorus	false	PASS	2026-08-02
XA_NEW_10	UBERON	1003	http://purl.obolibrary.org/obo/UBERON_0001003	skin epidermis	false	PASS	2026-08-02
XA_NEW_11	UBERON	1744	http://purl.obolibrary.org/obo/UBERON_0001744	lymphoid tissue	false	PASS	2026-08-02
