candidate_id	foundation_entity	foundation_label	mondo_class	mondo_label	genus_iri	genus_label	differentia_property	differentia_property_label	differentia_filler	differentia_filler_label	icd_axis_equivalent	accepted
LDEF-001	http://id.who.int/icd/entity/257068234	Cholera	http://purl.obolibrary.org/obo/MONDO_0005173	cholera	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_666	Vibrio cholerae	icd:infectiousAgent	yes
LDEF-002	http://id.who.int/icd/entity/588616678	Typhoid fever	http://purl.obolibrary.org/obo/MONDO_0005112	typhoid fever	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_90371	Salmonella enterica subsp. enterica serovar Typhi	icd:infectiousAgent	yes
LDEF-003	http://id.who.int/icd/entity/588616678	Typhoid fever	http://purl.obolibrary.org/obo/MONDO_0005112	typhoid fever	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004026	disease_has_location	http://purl.obolibrary.org/obo/UBERON_0000160	intestine	icd:specificAnatomy	yes
LDEF-004	http://id.who.int/icd/entity/1206028912	Shigellosis	http://purl.obolibrary.org/obo/MONDO_0005149	shigellosis	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_620	Shigella	icd:infectiousAgent	yes
LDEF-005	http://id.who.int/icd/entity/1206028912	Shigellosis	http://purl.obolibrary.org/obo/MONDO_0005149	shigellosis	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004026	disease_has_location	http://purl.obolibrary.org/obo/UBERON_0000160	intestine	icd:specificAnatomy	yes
LDEF-006	http://id.who.int/icd/entity/1157477580	Plague	http://purl.obolibrary.org/obo/MONDO_0005088	plague	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_632	Yersinia pestis	icd:infectiousAgent	yes
LDEF-007	http://id.who.int/icd/entity/1586407942	Dengue	http://purl.obolibrary.org/obo/MONDO_0005502	dengue disease	http://purl.obolibrary.org/obo/MONDO_0005578	viral infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_12637	Dengue virus	icd:infectiousAgent	yes
LDEF-008	http://id.who.int/icd/entity/1208890105	Measles	http://purl.obolibrary.org/obo/MONDO_0005309	measles	http://purl.obolibrary.org/obo/MONDO_0005578	viral infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_11234	Measles morbillivirus	icd:infectiousAgent	yes
LDEF-009	http://id.who.int/icd/entity/1233726543	Rubella	http://purl.obolibrary.org/obo/MONDO_0004656	rubella	http://purl.obolibrary.org/obo/MONDO_0005578	viral infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_11041	Rubella virus	icd:infectiousAgent	yes
LDEF-010	http://id.who.int/icd/entity/435601985	Malaria	http://purl.obolibrary.org/obo/MONDO_0005136	malaria	http://purl.obolibrary.org/obo/MONDO_0005740	parasitic infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_5820	Plasmodium	icd:infectiousAgent	yes
LDEF-011	http://id.who.int/icd/entity/1580735498	Tuberculosis	http://purl.obolibrary.org/obo/MONDO_0018076	tuberculosis	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_1773	Mycobacterium tuberculosis	icd:infectiousAgent	yes
LDEF-012	http://id.who.int/icd/entity/1580735498	Tuberculosis	http://purl.obolibrary.org/obo/MONDO_0018076	tuberculosis	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004026	disease_has_location	http://purl.obolibrary.org/obo/UBERON_0002048	lung	icd:specificAnatomy	no_partial
LDEF-013	http://id.who.int/icd/entity/1630407678	Leishmaniasis	http://purl.obolibrary.org/obo/MONDO_0005747	leishmaniasis	http://purl.obolibrary.org/obo/MONDO_0005740	parasitic infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_5658	Leishmania	icd:infectiousAgent	yes
LDEF-014	http://id.who.int/icd/entity/189532001	Diphtheria	http://purl.obolibrary.org/obo/MONDO_0005577	diphtheria	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_1717	Corynebacterium diphtheriae	icd:infectiousAgent	yes
LDEF-015	http://id.who.int/icd/entity/1927498498	Whooping cough	http://purl.obolibrary.org/obo/MONDO_0005049	pertussis	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_520	Bordetella pertussis	icd:infectiousAgent	yes
LDEF-016	http://id.who.int/icd/entity/1394114714	Tetanus	http://purl.obolibrary.org/obo/MONDO_0001399	tetanus	http://purl.obolibrary.org/obo/MONDO_0005113	bacterial infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_1513	Clostridium tetani	icd:infectiousAgent	yes
LDEF-017	http://id.who.int/icd/entity/42335174	Amoebiasis	http://purl.obolibrary.org/obo/MONDO_0006570	amebiasis	http://purl.obolibrary.org/obo/MONDO_0005740	parasitic infectious disease	http://purl.obolibrary.org/obo/RO_0004019	has_material_basis_in	http://purl.obolibrary.org/obo/NCBITaxon_5759	Entamoeba histolytica	icd:infectiousAgent	yes
