category	proposed_code	label	external_id	external_source	icd_parent_block	justification	priority
infectious_agent_serovar	XN_NEW_01	Salmonella enterica serovar Paratyphi A	NCBITaxon:54388	NCBITaxon	XN - Bacteria	Distinct clinical entity: paratyphoid fever A; needed for logical definition of paratyphoid fever	high
infectious_agent_serovar	XN_NEW_02	Salmonella enterica serovar Paratyphi B	NCBITaxon:54389	NCBITaxon	XN - Bacteria	Distinct clinical entity: paratyphoid fever B	high
infectious_agent_serovar	XN_NEW_03	Salmonella enterica serovar Paratyphi C	NCBITaxon:54390	NCBITaxon	XN - Bacteria	Distinct clinical entity: paratyphoid fever C	high
infectious_agent_species	XN_NEW_04	Leishmania donovani	NCBITaxon:5661	NCBITaxon	XN - Parasites	Visceral leishmaniasis (kala-azar) agent; clinical distinction from cutaneous forms	high
infectious_agent_species	XN_NEW_05	Leishmania tropica	NCBITaxon:5671	NCBITaxon	XN - Parasites	Old World cutaneous leishmaniasis agent	medium
infectious_agent_species	XN_NEW_06	Leishmania braziliensis	NCBITaxon:5660	NCBITaxon	XN - Parasites	Mucocutaneous leishmaniasis agent	medium
infectious_agent_species	XN_NEW_07	Mycobacterium leprae	NCBITaxon:1769	NCBITaxon	XN - Bacteria	Hansen's disease (leprosy) agent	high
infectious_agent_species	XN_NEW_08	Mycobacterium ulcerans	NCBITaxon:1809	NCBITaxon	XN - Bacteria	Buruli ulcer agent; WHO neglected tropical disease	high
infectious_agent_species	XN_NEW_09	Naegleria fowleri	NCBITaxon:5763	NCBITaxon	XN - Parasites	Primary amoebic meningoencephalitis agent	medium
infectious_agent_species	XN_NEW_10	Balamuthia mandrillaris	NCBITaxon:66527	NCBITaxon	XN - Parasites	Granulomatous amoebic encephalitis agent	low
infectious_agent_species	XN_NEW_11	Acanthamoeba castellanii	NCBITaxon:5755	NCBITaxon	XN - Parasites	Acanthamoeba keratitis agent	medium
infectious_agent_species	XN_NEW_12	Angiostrongylus cantonensis	NCBITaxon:6313	NCBITaxon	XN - Parasites	Eosinophilic meningitis agent	medium
infectious_agent_species	XN_NEW_13	Baylisascaris procyonis	NCBITaxon:6265	NCBITaxon	XN - Parasites	Neural larva migrans agent	low
infectious_agent_species	XN_NEW_14	Dracunculus medinensis	NCBITaxon:318479	NCBITaxon	XN - Parasites	Dracunculiasis (Guinea worm); WHO eradication target	high
infectious_agent_species	XN_NEW_15	Gnathostoma spinigerum	NCBITaxon:6270	NCBITaxon	XN - Parasites	Gnathostomiasis agent	low
infectious_agent_species	XN_NEW_16	Mansonella perstans	NCBITaxon:42156	NCBITaxon	XN - Parasites	Mansonellosis agent	low
infectious_agent_species	XN_NEW_17	Oestrus ovis	NCBITaxon:34593	NCBITaxon	XN - Parasites	Nasal myiasis agent	low
infectious_agent_species	XN_NEW_18	Talaromyces marneffei	NCBITaxon:37727	NCBITaxon	XN - Fungi	Talaromycosis agent; reclassified from Penicillium marneffei	medium
taxonomic_update	XN_UPD_01	Human alphaherpesvirus 1	NCBITaxon:10298	NCBITaxon	XN - Viruses	ICTV 2016 reclassification; update existing code label	high
taxonomic_update	XN_UPD_02	Human alphaherpesvirus 2	NCBITaxon:10310	NCBITaxon	XN - Viruses	ICTV 2016 reclassification; update existing code label	high
taxonomic_update	XN_UPD_03	Human gammaherpesvirus 4	NCBITaxon:10376	NCBITaxon	XN - Viruses	ICTV 2016 reclassification; update existing code label	medium
taxonomic_update	XN_UPD_04	Human betaherpesvirus 5	NCBITaxon:10359	NCBITaxon	XN - Viruses	ICTV 2016 reclassification; update existing code label	medium
genus_grouping	XN_GEN_01	Rickettsia	NCBITaxon:780	NCBITaxon	XN - Bacteria	Genus-level code needed when logical definition specifies genus not species	medium
genus_grouping	XN_GEN_02	Leptospira	NCBITaxon:171	NCBITaxon	XN - Bacteria	Genus-level code for leptospirosis definition	medium
genus_grouping	XN_GEN_03	Brucella	NCBITaxon:234	NCBITaxon	XN - Bacteria	Genus-level code for brucellosis definition	medium
genus_grouping	XN_GEN_04	Bartonella	NCBITaxon:773	NCBITaxon	XN - Bacteria	Genus-level code for bartonellosis definition	low
genus_grouping	XN_GEN_05	Ehrlichia	NCBITaxon:943	NCBITaxon	XN - Bacteria	Genus-level code for ehrlichiosis definition	low
anatomy	XA_NEW_01	Intestinal mucosa	UBERON:0001242	UBERON	XA - Anatomy	Site of mucosal invasion (Shigella, Entamoeba, Salmonella)	medium
anatomy	XA_NEW_02	Meninges	UBERON:0002360	UBERON	XA - Anatomy	Meningitis localization	high
anatomy	XA_NEW_03	Reticuloendothelial system	UBERON:0000758	UBERON	XA - Anatomy	Visceral leishmaniasis, brucellosis, histoplasmosis	medium
anatomy	XA_NEW_04	Lymph node	UBERON:0000029	UBERON	XA - Anatomy	Lymphatic involvement (plague, filariasis, lymphadenitis)	high
anatomy	XA_NEW_05	Skin dermis	UBERON:0002067	UBERON	XA - Anatomy	Cutaneous infections (leishmaniasis, dermatophytosis)	medium
anatomy	XA_NEW_06	Subcutaneous tissue	UBERON:0002072	UBERON	XA - Anatomy	Subcutaneous parasites (onchocerciasis, dracunculiasis)	medium
anatomy	XA_NEW_07	Biliary system	UBERON:0002394	UBERON	XA - Anatomy	Hepatobiliary parasites (Clonorchis, Opisthorchis, Fasciola)	medium
anatomy	XA_NEW_08	Cornea	UBERON:0000964	UBERON	XA - Anatomy	Infectious keratitis (Acanthamoeba, trachoma)	medium
anatomy	XA_NEW_09	Peripheral nerve	UBERON:0001021	UBERON	XA - Anatomy	Leprosy neural involvement	high
anatomy	XA_NEW_10	Cardiac muscle tissue	UBERON:0001133	UBERON	XA - Anatomy	Chagas disease myocarditis, viral myocarditis	high
anatomy	XA_NEW_11	Portal venous system	UBERON:0010195	UBERON	XA - Anatomy	Schistosomiasis portal hypertension	medium
anatomy	XA_NEW_12	Nasopharynx	UBERON:0001728	UBERON	XA - Anatomy	Upper respiratory infections, diphtheria	medium
