entity_id	provisional_iri	proposed_label	parent_foundation_iri	parent_foundation_label	mondo_source_iri	mondo_source_label	depth	logical_definition	anchor_id
ENT-001	http://id.who.int/icd/staging/entity/ST-0001	Intestinal cryptosporidiosis	http://id.who.int/icd/entity/1245382927	Cryptosporidiosis	http://purl.obolibrary.org/obo/MONDO_0044654	intestinal cryptosporidiosis	1	cryptosporidiosis and (disease_has_location some intestine)	ANC-01
ENT-002	http://id.who.int/icd/staging/entity/ST-0002	Pulmonary cryptosporidiosis	http://id.who.int/icd/entity/1245382927	Cryptosporidiosis	http://purl.obolibrary.org/obo/MONDO_0044655	pulmonary cryptosporidiosis	1	cryptosporidiosis and (disease_has_location some lung)	ANC-01
ENT-003	http://id.who.int/icd/staging/entity/ST-0003	Biliary cryptosporidiosis	http://id.who.int/icd/entity/1245382927	Cryptosporidiosis	http://purl.obolibrary.org/obo/MONDO_0044656	biliary cryptosporidiosis	1	cryptosporidiosis and (disease_has_location some biliary tract)	ANC-01
ENT-004	http://id.who.int/icd/staging/entity/ST-0004	Active trachoma	http://id.who.int/icd/entity/1210724685	Trachoma	http://purl.obolibrary.org/obo/MONDO_0044657	active trachoma	1	trachoma and (has_course some acute course)	ANC-02
ENT-005	http://id.who.int/icd/staging/entity/ST-0005	Cicatricial trachoma	http://id.who.int/icd/entity/1210724685	Trachoma	http://purl.obolibrary.org/obo/MONDO_0044658	cicatricial trachoma	1	trachoma and (has_course some chronic course)	ANC-02
ENT-006	http://id.who.int/icd/staging/entity/ST-0006	Human monocytic ehrlichiosis	http://id.who.int/icd/entity/1876773788	Ehrlichiosis	http://purl.obolibrary.org/obo/MONDO_0005765	human monocytic ehrlichiosis	1	ehrlichiosis and (has_material_basis_in some Ehrlichia chaffeensis)	ANC-03
ENT-007	http://id.who.int/icd/staging/entity/ST-0007	Human granulocytic anaplasmosis	http://id.who.int/icd/entity/1876773788	Ehrlichiosis	http://purl.obolibrary.org/obo/MONDO_0005766	human granulocytic anaplasmosis	1	ehrlichiosis and (has_material_basis_in some Anaplasma phagocytophilum)	ANC-03
ENT-008	http://id.who.int/icd/staging/entity/ST-0008	Ehrlichia ewingii infection	http://id.who.int/icd/entity/1876773788	Ehrlichiosis	http://purl.obolibrary.org/obo/MONDO_0044659	Ehrlichia ewingii infection	1	ehrlichiosis and (has_material_basis_in some Ehrlichia ewingii)	ANC-03
ENT-009	http://id.who.int/icd/staging/entity/ST-0009	Sennetsu neorickettsiosis	http://id.who.int/icd/entity/1876773788	Ehrlichiosis	http://purl.obolibrary.org/obo/MONDO_0044660	Sennetsu neorickettsiosis	1	ehrlichiosis and (has_material_basis_in some Neorickettsia sennetsu)	ANC-03
ENT-010	http://id.who.int/icd/staging/entity/ST-0010	Spotted fever group rickettsiosis	http://id.who.int/icd/entity/1134198768	Rickettsiosis	http://purl.obolibrary.org/obo/MONDO_0019354	spotted fever group rickettsiosis	1	rickettsiosis and (has_material_basis_in some spotted fever group Rickettsia)	ANC-04
ENT-011	http://id.who.int/icd/staging/entity/ST-0011	Typhus group rickettsiosis	http://id.who.int/icd/entity/1134198768	Rickettsiosis	http://purl.obolibrary.org/obo/MONDO_0019355	typhus group rickettsiosis	1	rickettsiosis and (has_material_basis_in some typhus group Rickettsia)	ANC-04
ENT-012	http://id.who.int/icd/staging/entity/ST-0012	Scrub typhus	http://id.who.int/icd/entity/1134198768	Rickettsiosis	http://purl.obolibrary.org/obo/MONDO_0017741	scrub typhus	1	rickettsiosis and (has_material_basis_in some Orientia tsutsugamushi)	ANC-04
ENT-013	http://id.who.int/icd/staging/entity/ST-0013	Q fever	http://id.who.int/icd/entity/1134198768	Rickettsiosis	http://purl.obolibrary.org/obo/MONDO_0005081	Q fever	1	rickettsiosis and (has_material_basis_in some Coxiella burnetii)	ANC-04
ENT-014	http://id.who.int/icd/staging/entity/ST-0014	Trench fever	http://id.who.int/icd/entity/1134198768	Rickettsiosis	http://purl.obolibrary.org/obo/MONDO_0005094	trench fever	1	rickettsiosis and (has_material_basis_in some Bartonella quintana)	ANC-04
ENT-015	http://id.who.int/icd/staging/entity/ST-0015	Neurocysticercosis	http://id.who.int/icd/entity/887070379	Cysticercosis	http://purl.obolibrary.org/obo/MONDO_0005778	neurocysticercosis	1	cysticercosis and (disease_has_location some central nervous system)	ANC-05
ENT-016	http://id.who.int/icd/staging/entity/ST-0016	Ocular cysticercosis	http://id.who.int/icd/entity/887070379	Cysticercosis	http://purl.obolibrary.org/obo/MONDO_0044661	ocular cysticercosis	1	cysticercosis and (disease_has_location some eye)	ANC-05
ENT-017	http://id.who.int/icd/staging/entity/ST-0017	Pneumococcal meningitis	http://id.who.int/icd/entity/1124897498	Bacterial meningitis	http://purl.obolibrary.org/obo/MONDO_0005114	pneumococcal meningitis	1	bacterial meningitis and (has_material_basis_in some Streptococcus pneumoniae)	ANC-06
