Rule Name	Rule URI	Subject	Property	Value	Severity	Result
duplicate_exact_synonym	http://robot.obolibrary.org/report#duplicate_exact_synonym	-	-	-	ERROR	PASS (0 violations)
missing_definition	http://robot.obolibrary.org/report#missing_definition	icd-stage:ST-0001 ... ST-0098	-	-	WARN	INFO (98 new classes lack textual definitions; acceptable for initial import — definitions to be added in follow-up editorial pass)
multiple_labels	http://robot.obolibrary.org/report#multiple_labels	-	-	-	ERROR	PASS (0 violations)
missing_label	http://robot.obolibrary.org/report#missing_label	-	-	-	ERROR	PASS (0 violations — all 98 classes have rdfs:label)
deprecated_class_reference	http://robot.obolibrary.org/report#deprecated_class_reference	-	-	-	ERROR	PASS (0 violations — all Mondo sources non-deprecated)
missing_ontology_license	http://robot.obolibrary.org/report#missing_ontology_license	-	-	-	ERROR	PASS (CC-BY 4.0 declared in ontology header)
missing_superclass	http://robot.obolibrary.org/report#missing_superclass	-	-	-	ERROR	PASS (all 98 classes have explicit SubClassOf)
invalid_xref	http://robot.obolibrary.org/report#invalid_xref	-	-	-	WARN	PASS (0 violations)
undeclared_class	http://robot.obolibrary.org/report#undeclared_class	-	-	-	ERROR	PASS (all referenced classes declared)
self_referencing_axiom	http://robot.obolibrary.org/report#self_referencing_axiom	-	-	-	ERROR	PASS (no self-references)
label_formatting	http://robot.obolibrary.org/report#label_formatting	-	-	-	INFO	PASS (all labels follow Foundation title conventions)
duplicate_label	http://robot.obolibrary.org/report#duplicate_label	-	-	-	ERROR	PASS (no label collisions with existing Foundation entities)
iri_range_violation	http://robot.obolibrary.org/report#iri_range_violation	-	-	-	ERROR	PASS (all provisional IRIs in icd-stage: namespace)
