#curie_map:
#  icd: http://id.who.int/icd/entity/
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	subject_source	object_source	mapping_date	mapping_provider
icd:1245382927	Cryptosporidiosis	skos:exactMatch	MONDO:0005776	cryptosporidiosis	semapv:LexicalMatching	0.96	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:1210724685	Trachoma	skos:exactMatch	MONDO:0005836	trachoma	semapv:LexicalMatching	0.97	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:1876773788	Ehrlichiosis	skos:exactMatch	MONDO:0005764	ehrlichiosis	semapv:LexicalMatching	0.93	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:1134198768	Rickettsiosis	skos:exactMatch	MONDO:0019353	rickettsiosis	semapv:LogicalReasoning	0.91	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:887070379	Cysticercosis	skos:exactMatch	MONDO:0005775	cysticercosis	semapv:LexicalMatching	0.95	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:1124897498	Bacterial meningitis	skos:exactMatch	MONDO:0005113	bacterial meningitis	semapv:LexicalMatching	0.94	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:1390841912	Sporotrichosis	skos:exactMatch	MONDO:0005821	sporotrichosis	semapv:LexicalMatching	0.96	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:1290715602	Histoplasmosis	skos:exactMatch	MONDO:0001751	histoplasmosis	semapv:LexicalMatching	0.95	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:1671998065	Coccidioidomycosis	skos:exactMatch	MONDO:0005046	coccidioidomycosis	semapv:LexicalMatching	0.96	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:1543214901	Blastomycosis	skos:exactMatch	MONDO:0004833	blastomycosis	semapv:LexicalMatching	0.95	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
icd:1128765438	Chromoblastomycosis	skos:exactMatch	MONDO:0006636	chromoblastomycosis	semapv:LexicalMatching	0.94	WHO-FIC Foundation	Mondo	2026-03-15	WHO-FIC Mapping Group
