foundationEntity	foundationLabel	mondoClass	mondoLabel	text	scopeProp	xref
http://id.who.int/icd/entity/257068234	Cholera	http://purl.obolibrary.org/obo/MONDO_0005173	cholera	Asiatic cholera	oboInOwl:hasExactSynonym	DOID:1498
http://id.who.int/icd/entity/257068234	Cholera	http://purl.obolibrary.org/obo/MONDO_0005173	cholera	epidemic cholera	oboInOwl:hasExactSynonym	MESH:D002771
http://id.who.int/icd/entity/257068234	Cholera	http://purl.obolibrary.org/obo/MONDO_0005173	cholera	Vibrio cholerae infection	oboInOwl:hasNarrowSynonym	NCIt:C128388
http://id.who.int/icd/entity/257068234	Cholera	http://purl.obolibrary.org/obo/MONDO_0005173	cholera	cholera (disorder)	oboInOwl:hasRelatedSynonym	SNOMEDCT:63650001
http://id.who.int/icd/entity/257068234	Cholera	http://purl.obolibrary.org/obo/MONDO_0005173	cholera	Cholera	oboInOwl:hasExactSynonym	MESH:D002771
http://id.who.int/icd/entity/257068234	Cholera	http://purl.obolibrary.org/obo/MONDO_0005173	cholera	infection caused by Vibrio cholerae	oboInOwl:hasRelatedSynonym	NCIt:C128388
http://id.who.int/icd/entity/588616678	Typhoid fever	http://purl.obolibrary.org/obo/MONDO_0005112	typhoid fever	enteric fever	oboInOwl:hasExactSynonym	MESH:D014435
http://id.who.int/icd/entity/588616678	Typhoid fever	http://purl.obolibrary.org/obo/MONDO_0005112	typhoid fever	typhoid	oboInOwl:hasExactSynonym	DOID:13258
http://id.who.int/icd/entity/588616678	Typhoid fever	http://purl.obolibrary.org/obo/MONDO_0005112	typhoid fever	Salmonella typhi infection	oboInOwl:hasNarrowSynonym	NCIt:C128392
http://id.who.int/icd/entity/588616678	Typhoid fever	http://purl.obolibrary.org/obo/MONDO_0005112	typhoid fever	typhoid fever (disorder)	oboInOwl:hasRelatedSynonym	SNOMEDCT:4834000
http://id.who.int/icd/entity/588616678	Typhoid fever	http://purl.obolibrary.org/obo/MONDO_0005112	typhoid fever	infection due to Salmonella typhi	oboInOwl:hasRelatedSynonym	NCIt:C128392
http://id.who.int/icd/entity/1206028912	Shigellosis	http://purl.obolibrary.org/obo/MONDO_0005149	shigellosis	bacillary dysentery	oboInOwl:hasExactSynonym	MESH:D004405
http://id.who.int/icd/entity/1206028912	Shigellosis	http://purl.obolibrary.org/obo/MONDO_0005149	shigellosis	Shigella infection	oboInOwl:hasNarrowSynonym	NCIt:C84947
http://id.who.int/icd/entity/1206028912	Shigellosis	http://purl.obolibrary.org/obo/MONDO_0005149	shigellosis	shigellosis (disorder)	oboInOwl:hasRelatedSynonym	SNOMEDCT:36188001
http://id.who.int/icd/entity/1206028912	Shigellosis	http://purl.obolibrary.org/obo/MONDO_0005149	shigellosis	infection caused by Shigella	oboInOwl:hasRelatedSynonym	NCIt:C84947
http://id.who.int/icd/entity/42335174	Amoebiasis	http://purl.obolibrary.org/obo/MONDO_0006570	amebiasis	amoebic dysentery	oboInOwl:hasExactSynonym	DOID:9537
